ID,name,Make,Model,Version,Price,Link,Model Date,Km Run,Energy,Engine Type,City,Color,Assembly,EngineCapacity,image1,image2,image3,image4,image5,Features
12,"
Mitsubishi Pajero  1993  for Sale",Mitsubishi,Pajero,,"
PKR 13.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1993-for-sale-in-peshawar-3200913,1993,"

170,000 km","

Diesel","

Manual",Islamabad,Green,Imported,2400 cc,https://cache4.pakwheels.com/ad_pictures/2844/mitsubishi-pajero-1993-28449918.jpg,https://cache2.pakwheels.com/ad_pictures/2844/mitsubishi-pajero-1993-28449828.jpg,https://cache3.pakwheels.com/ad_pictures/2844/mitsubishi-pajero-1993-28449916.jpg,https://cache3.pakwheels.com/ad_pictures/2844/mitsubishi-pajero-1993-28449915.jpg,https://cache2.pakwheels.com/ad_pictures/2844/mitsubishi-pajero-1993-28449917.jpg,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Cassette Player', 'DVD Player', 'Keyless Entry', 'Power Locks', 'Power Steering', 'Power Windows', 'Sun Roof']"

13,"
Mitsubishi Pajero  1993 Exceed 3.5 for Sale",Mitsubishi,Pajero,3.5,"
PKR 13 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1993-for-sale-in-peshawar-3236735,1993,"

123,456 km","

Petrol","

Automatic",Lahore,White,Imported,3400 cc,https://cache4.pakwheels.com/ad_pictures/2886/mitsubishi-pajero-exceed-3-5-1993-28866588.jpg,https://cache4.pakwheels.com/ad_pictures/2886/mitsubishi-pajero-exceed-3-5-1993-28866587.jpg,https://cache3.pakwheels.com/ad_pictures/2886/mitsubishi-pajero-exceed-3-5-1993-28866583.jpg,https://cache2.pakwheels.com/ad_pictures/2886/mitsubishi-pajero-exceed-3-5-1993-28866582.jpg,https://cache3.pakwheels.com/ad_pictures/2886/mitsubishi-pajero-exceed-3-5-1993-28866581.jpg,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

14,"
Mitsubishi Pajero  1998 Exceed 3.5 for Sale",Mitsubishi,Pajero,3.5,"
PKR 20 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1998-for-sale-in-islamabad-3181457,1998,"

8 km","

Petrol","

Automatic",Islamabad,Blue,Imported,3500 cc,https://cache4.pakwheels.com/ad_pictures/2830/mitsubishi-pajero-exceed-3-5-1998-28304488.jpg,https://cache1.pakwheels.com/ad_pictures/2822/mitsubishi-pajero-exceed-3-5-1998-28227136.jpg,https://cache1.pakwheels.com/ad_pictures/2822/mitsubishi-pajero-exceed-3-5-1998-28227144.jpg,https://cache2.pakwheels.com/ad_pictures/2822/mitsubishi-pajero-exceed-3-5-1998-28227137.jpg,https://cache3.pakwheels.com/ad_pictures/2822/mitsubishi-pajero-exceed-3-5-1998-28227140.jpg,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

15,"
Mitsubishi Pajero  1993 Exceed 2.4 for Sale",Mitsubishi,Pajero,2.4,"
PKR 13.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1993-for-sale-in-gujranwala-3223601,1993,"

111,111 km","

Petrol","

Automatic",Lahore,Green,Imported,2400 cc,https://cache3.pakwheels.com/ad_pictures/2871/mitsubishi-pajero-exceed-2-4-1993-28714926.jpg,https://cache4.pakwheels.com/ad_pictures/2871/mitsubishi-pajero-exceed-2-4-1993-28714921.jpg,https://cache1.pakwheels.com/ad_pictures/2871/mitsubishi-pajero-exceed-2-4-1993-28714924.jpg,https://cache2.pakwheels.com/ad_pictures/2871/mitsubishi-pajero-exceed-2-4-1993-28714925.jpg,https://cache2.pakwheels.com/ad_pictures/2871/mitsubishi-pajero-exceed-2-4-1993-28714923.jpg,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

16,"
Mitsubishi Pajero  1996  for Sale",Mitsubishi,Pajero,,"
PKR 14.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1996-for-sale-in-islamabad-3054349,1996,"

213,000 km","

Diesel","

Automatic",Islamabad,Blue,Imported,2800 cc,https://cache1.pakwheels.com/ad_pictures/2681/mitsubishi-pajero-1996-26812471.jpg,https://cache3.pakwheels.com/ad_pictures/2681/mitsubishi-pajero-1996-26812472.jpg,https://cache4.pakwheels.com/ad_pictures/2681/mitsubishi-pajero-1996-26812473.jpg,https://cache3.pakwheels.com/ad_pictures/2681/mitsubishi-pajero-1996-26812474.jpg,https://cache2.pakwheels.com/ad_pictures/2681/mitsubishi-pajero-1996-26812475.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'DVD Player', 'Navigation System', 'Power Locks', 'Power Steering', 'Power Windows', 'Rear AC Vents', 'Rear Camera', 'Rear speakers', 'USB and Auxillary Cable']"

